,0
0,-2.23904903038
1,3.83478971437
2,1.86800447188
3,0.540365613917
4,0.261952477082
5,-0.565629515369
6,0.10262360415
7,1.70908232571
8,-0.265063290682
9,2.68727926451
10,1.63197037827
11,-2.81670687178
12,-3.03680546875
13,2.67843309034
14,-1.78406098871
15,-1.83697325622
16,2.0418089017
17,-1.46549063342
18,0.485216224907
19,1.60073874934
20,3.13425025016
21,-0.77696393993
22,3.15375546976
23,0.0800859357599
24,4.63013217083
25,1.44571085858
26,-0.66162488831
27,5.64614137255
28,3.47544266973
29,0.716183858331
30,-3.27781433256
31,-0.311951984085
32,3.29100662619
33,1.30812641985
34,-2.50641544387
35,4.90658567201
36,1.25857123494
37,1.824917297
38,1.47812744194
39,-2.88355058598
40,-0.465128862492
41,-3.78119983532
42,0.439917411446
43,1.21746478803
44,-1.74584440871
45,-3.51038895336
46,5.87306598055
47,-0.946509946604
48,0.985121686058
49,1.13699160587
50,2.83181312274
51,1.86311382779
52,6.01663345752
53,1.46972264732
54,2.53527980521
55,0.0791779542306
56,3.82145476552
57,1.86657946609
58,-0.740326282114
59,2.31782820456
60,3.01352366004
61,-0.0202849019241
62,-2.63895097474
63,0.829725454761
64,3.83349784517
65,-0.0700190239897
66,-1.68219753285
67,2.5900273207
68,2.78677974801
69,-0.74891933113
70,4.4585056093
71,0.747665401518
72,2.22291646087
73,-2.41379488513
74,-2.35620241715
75,1.37849557891
76,1.72439477828
77,0.907618768667
78,4.35440159871
79,-0.942867869274
80,-1.1645359269
81,0.354955646156
82,-0.133420905882
83,2.7610248152
84,0.609655520948
85,-1.3950027025
86,1.46266240943
87,-4.24735730746
88,1.45267816752
89,-0.795411745083
90,1.05735383923
91,1.98852867471
92,2.88799776548
93,0.731322212033
94,-1.17836494725
95,0.642348089137
96,-1.0517409814
97,0.00846450870416
98,0.270353045266
99,0.397159647447
100,0.856306186117
101,-0.0509808095162
102,-0.82276760466
103,2.83622629859
104,3.00319328425
105,1.58449029247
106,-0.0644643757497
107,1.26415343629
108,-1.56470610428
109,-4.23245659991
110,2.202467296
111,0.263379505963
112,1.07528496873
113,0.715152959358
114,-0.979129603238
115,-0.307220627821
116,0.26527183205
117,2.18126335838
118,0.748129870706
119,1.12848453395
120,2.98491058833
121,1.41032025407
122,1.27186849366
123,-0.0423590801009
